User_Id,Location,Age
163,"Semarang, Jawa Tengah",40.0
164,"Yogyakarta, DIY",19.0
165,"Cirebon, Jawa Barat",23.0
166,"Lampung, Sumatera Selatan",26.0
167,"Semarang, Jawa Tengah",19.0
168,"Subang, Jawa Barat",38.0
169,"Jakarta Barat, DKI Jakarta",18.0
170,"Bekasi, Jawa Barat",19.0
171,"Lampung, Sumatera Selatan",33.0
172,"Palembang, Sumatera Selatan",34.0
173,"Bogor, Jawa Barat",29.0
174,"Sragen, Jawa Tengah",32.0
175,"Ponorogo, Jawa Timur",36.0
176,"Depok, Jawa Barat",31.0
177,"Jakarta Selatan, DKI Jakarta",35.0
178,"Bekasi, Jawa Barat",33.0
179,"Ponorogo, Jawa Timur",27.0
180,"Sragen, Jawa Tengah",24.0
181,"Klaten, Jawa Tengah",29.0
182,"Solo, Jawa Tengah",34.0
183,"Tanggerang, Banten",37.0
184,"Serang, Banten",30.0
185,"Cilacap, Jawa Tengah",33.0
186,"Semarang, Jawa Tengah",28.0
187,"Yogyakarta, DIY",25.0
188,"Kota Gede, DIY",37.0
189,"Cirebon, Jawa Barat",21.0
190,"Subang, Jawa Barat",18.0
191,"Karawang, Jawa Barat",32.0
192,"Purwakarat, Jawa Barat",37.0
193,"Jakarta Utara, DKI Jakarta",20.0
194,"Jakarta Selatan, DKI Jakarta",31.0
195,"Jakarta Pusat, DKI Jakarta",29.0
196,"Bekasi, Jawa Barat",28.0
197,"Bogor, Jawa Barat",27.0
198,"Karawang, Jawa Barat",26.0
199,"Subang, Jawa Barat",18.0
200,"Serang, Banten",34.0
201,"Bekasi, Jawa Barat",21.0
202,"Lampung, Sumatera Selatan",21.0
203,"Jakarta Utara, DKI Jakarta",24.0
204,"Jakarta Selatan, DKI Jakarta",21.0
205,"Bandung, Jawa Barat",24.0
206,"Surabaya, Jawa Timur",30.0
207,"Bekasi, Jawa Barat",20.0
208,"Yogyakarta, DIY",27.0
209,"Bogor, Jawa Barat",19.0
210,"Depok, Jawa Barat",18.0
211,"Jakarta Pusat, DKI Jakarta",22.0
212,"Jakarta Timur, DKI Jakarta",28.0
213,"Bekasi, Jawa Barat",20.0
214,"Semarang, Jawa Tengah",30.0
215,"Yogyakarta, DIY",23.0
216,"Cirebon, Jawa Barat",28.0
217,"Lampung, Sumatera Selatan",20.0
218,"Semarang, Jawa Tengah",29.0
219,"Subang, Jawa Barat",24.0
220,"Jakarta Barat, DKI Jakarta",23.0
221,"Bekasi, Jawa Barat",30.0
222,"Lampung, Sumatera Selatan",30.0
223,"Palembang, Sumatera Selatan",20.0
224,"Bogor, Jawa Barat",28.0
225,"Sragen, Jawa Tengah",19.0
226,"Ponorogo, Jawa Timur",23.0
227,"Depok, Jawa Barat",25.0
228,"Jakarta Selatan, DKI Jakarta",18.0
229,"Bekasi, Jawa Barat",20.0
230,"Ponorogo, Jawa Timur",20.0
231,"Sragen, Jawa Tengah",28.0
232,"Klaten, Jawa Tengah",30.0
233,"Solo, Jawa Tengah",23.0
234,"Tanggerang, Banten",27.0
235,"Serang, Banten",18.0
236,"Cilacap, Jawa Tengah",23.0
237,"Semarang, Jawa Tengah",20.0
238,"Yogyakarta, DIY",30.0
239,"Kota Gede, DIY",23.0
240,"Cirebon, Jawa Barat",22.0
241,"Subang, Jawa Barat",20.0
242,"Karawang, Jawa Barat",20.0
243,"Purwakarat, Jawa Barat",20.0
244,"Jakarta Utara, DKI Jakarta",27.0
245,"Jakarta Selatan, DKI Jakarta",27.0
246,"Jakarta Pusat, DKI Jakarta",28.0
247,"Bekasi, Jawa Barat",28.0
248,"Bogor, Jawa Barat",29.0
249,"Karawang, Jawa Barat",19.0
250,"Subang, Jawa Barat",27.0
251,"Semarang, Jawa Tengah",29.0
252,"Bekasi, Jawa Barat",30.0
253,"Cirebon, Jawa Barat",34.0
254,"Bekasi, Jawa Barat",34.0
255,"Lampung, Sumatera Selatan",30.0
256,"Jakarta Utara, DKI Jakarta",39.0
257,"Jakarta Selatan, DKI Jakarta",25.0
258,"Bandung, Jawa Barat",38.0
259,"Surabaya, Jawa Timur",27.0
260,"Bekasi, Jawa Barat",33.0
261,"Yogyakarta, DIY",38.0
262,"Bogor, Jawa Barat",38.0
263,"Depok, Jawa Barat",27.0
264,"Jakarta Pusat, DKI Jakarta",37.0
265,"Jakarta Timur, DKI Jakarta",30.0
266,"Bekasi, Jawa Barat",32.0
267,"Semarang, Jawa Tengah",31.0
268,"Yogyakarta, DIY",32.0
269,"Cirebon, Jawa Barat",36.0
270,"Lampung, Sumatera Selatan",25.0
271,"Semarang, Jawa Tengah",37.0
272,"Subang, Jawa Barat",30.0
273,"Jakarta Barat, DKI Jakarta",33.0
274,"Bekasi, Jawa Barat",38.0
275,"Lampung, Sumatera Selatan",34.0
276,"Lampung, Sumatera Selatan",39.0
277,"Jakarta Utara, DKI Jakarta",29.0
278,"Jakarta Selatan, DKI Jakarta",40.0
279,"Bandung, Jawa Barat",28.0
280,"Surabaya, Jawa Timur",40.0
281,"Bekasi, Jawa Barat",30.0
282,"Yogyakarta, DIY",39.0
283,"Bogor, Jawa Barat",37.0
284,"Depok, Jawa Barat",29.0
285,"Jakarta Pusat, DKI Jakarta",29.0
286,"Jakarta Timur, DKI Jakarta",35.0
287,"Bekasi, Jawa Barat",27.0
288,"Semarang, Jawa Tengah",30.0
289,"Yogyakarta, DIY",35.0
290,"Cirebon, Jawa Barat",34.0
291,"Lampung, Sumatera Selatan",25.0
292,"Semarang, Jawa Tengah",29.0
293,"Subang, Jawa Barat",34.0
294,"Jakarta Barat, DKI Jakarta",28.0
295,"Bekasi, Jawa Barat",31.0
296,"Lampung, Sumatera Selatan",31.0
297,"Palembang, Sumatera Selatan",39.0
298,"Bogor, Jawa Barat",38.0
299,"Sragen, Jawa Tengah",27.0
300,"Ponorogo, Jawa Timur",26.0
